date,value
acdgh-logROC,0.6708812206361933
acdgh-gbtROC,0.6821687676592718
acdghi-logACC,0.6331091558714509
acdghi-gbtACC,0.6406718158890289
acdghi-logROC,0.6742151234504974
acdghi-gbtROC,0.6923492495938042
acdfi-logACC,0.5839307004470939
acdfi-gbtACC,0.6070559536092324
acdfi-logROC,0.6146427990717487
acdfi-gbtROC,0.6472693247517076
acdfh-logACC,0.6357755263861821
acdfh-gbtACC,0.6452611391340899
acdfh-logROC,0.6855682857596335
acdfh-gbtROC,0.695706766425487
acdfhi-logACC,0.6359066357140127
acdfhi-gbtACC,0.6479715598609042
acdfhi-logROC,0.687607213558388
acdfhi-gbtROC,0.7023721078610591
acdfg-logACC,0.586159883832015
acdfg-gbtACC,0.6106404619970194
acdfg-logROC,0.616918956006441
acdfg-gbtROC,0.6506608294574542
acdfgi-logACC,0.5910996216897857
acdfgi-gbtACC,0.6137443540066491
acdfgi-logROC,0.6185797323055964
acdfgi-gbtROC,0.6551128990710928
acdfgh-logACC,0.6372618078642669
acdfgh-gbtACC,0.6488457812679125
acdfgh-logROC,0.6871703119351302
acdfgh-gbtROC,0.7012299947778328
acdfghi-logACC,0.6381798310978638
acdfghi-gbtACC,0.6522120638923917
acdfghi-logROC,0.6891624671247593
acdfghi-gbtROC,0.7066331918439505
acdei-logACC,0.5896573999770721
acdei-gbtACC,0.6192081470442126
acdei-logROC,0.6228481515770979
acdei-gbtROC,0.6612872259824627
acdeh-logACC,0.6377426344147655
acdeh-gbtACC,0.6510753849975162
acdeh-logROC,0.6886388887532797
acdeh-gbtROC,0.7015653398012017
acdehi-logACC,0.6368683461347396
acdehi-gbtACC,0.6542229068745462
acdehi-logROC,0.6902835577775309
acdehi-gbtROC,0.707411733354007
acdeg-logACC,0.5917115480148267
acdeg-gbtACC,0.6202571171997402
acdeg-logROC,0.6253833212508155
acdeg-gbtROC,0.6638102276939657
acdegi-logACC,0.597744468646108
acdegi-gbtACC,0.6234919847911652
acdegi-logROC,0.6266482001870374
acdegi-gbtROC,0.6676638272501301
acdegh-logACC,0.640103271045894
acdegh-gbtACC,0.6545290419962552
acdegh-logROC,0.6903270037373337
acdegh-gbtROC,0.7060330389125495
acdeghi-logACC,0.6401906072070007
acdeghi-gbtACC,0.6562775612365777
acdeghi-logROC,0.6919122872304238
acdeghi-gbtROC,0.7114537925219214
acdef-logACC,0.5853294260384425
acdef-gbtACC,0.6144431197218082
acdef-logROC,0.6218666790291637
acdef-gbtROC,0.6535900829186603
acdefi-logACC,0.5896137223432305
acdefi-gbtACC,0.6157983778516565
acdefi-logROC,0.6230119888620443
acdefi-gbtROC,0.6575171629302193
acdefh-logACC,0.6375239978600634
acdefh-gbtACC,0.6501137605563836
acdefh-logROC,0.6885452772404256
acdefh-gbtROC,0.6980185469994935
acdefhi-logACC,0.6373054568382437
acdefhi-gbtACC,0.6507255435821009
acdefhi-logROC,0.6901335434560925
acdefhi-gbtROC,0.7037416301764644
acdefg-logACC,0.5925859413810233
acdefg-gbtACC,0.6173719477244067
acdefg-logROC,0.625526025282982
acdefg-gbtROC,0.6607675084175654
acdefgi-logACC,0.59643284038366
acdefgi-gbtACC,0.6189894436164928
acdefgi-logROC,0.6268490254420368
acdefgi-gbtROC,0.6646854796742648
acdefgh-logACC,0.6402780866674309
acdefgh-gbtACC,0.6537419752378769
acdefgh-logROC,0.6901956108156913
acdefgh-gbtROC,0.7036429794802705
acdefghi-logACC,0.6403654610416906
acdefghi-gbtACC,0.6558840517406092
acdefghi-logROC,0.6918060191114246
acdefghi-gbtROC,0.7083010399238239
abghi-logACC,0.6386173048263213
abghi-gbtACC,0.6457429783331422
abghi-logROC,0.6702585335368763
abghi-gbtROC,0.6879782007722006
abfhi-logACC,0.6427701956513432
abfhi-gbtACC,0.652081260269785
abfhi-logROC,0.6909375434886582
abfhi-gbtROC,0.7094574868407628
abfgi-logACC,0.5886521456685391
abfgi-gbtACC,0.6136569509725247
abfgi-logROC,0.6281303370621897
abfgi-gbtROC,0.6632720359522378
abfgh-logACC,0.6419833486185945
abfgh-gbtACC,0.6498958118384348
abfgh-logROC,0.692803004220638
abfgh-gbtROC,0.7065751261742743
